time (s),arc1,arc2,arc3,arc4,arc5,arc6,ramp
421.3,0,0,0,1,1,1,0.5
424.0,0,0,0,0,1,1,0.5
426.7,0,0,0,0,0,1,0.5
429.3,1,0,1,0,0,1,0.5
432.0,0,1,0,1,0,1,0.5
434.7,0,0,1,0,1,1,0.5
437.3,1,0,0,1,0,1,0.5
440.0,0,1,0,0,1,1,0.5
442.7,0,0,1,1,0,1,0.5
445.3,1,0,0,0,1,1,0.5
448.0,0,1,1,0,0,1,0.5
450.7,0,0,0,1,1,1,0.5
453.3,1,1,0,0,0,1,0.5
456.0,0,0,0,1,1,0,0.5
458.7,0,1,1,0,0,0,0.5
461.3,1,0,0,0,1,0,0.5
464.0,0,0,1,1,0,0,0.5
466.7,0,1,0,0,1,0,0.5
469.3,1,0,0,1,0,0,0.5
472.0,0,0,1,0,1,0,0.5
474.7,0,1,0,1,0,0,0.5
477.3,1,0,1,0,0,0,0.5
480.0,1,0,0,0,0,0,0.5
482.7,1,1,0,0,0,0,0.5
485.3,1,1,1,0,0,0,0.5
488.0,1,1,1,1,0,0,0.5
490.7,1,1,1,1,1,0,0.5
493.3,1,1,1,1,1,1,0.5
496.0,0,1,1,1,1,1,0.5
498.7,0,0,1,1,1,1,0.5
501.3,0,0,0,1,1,1,0.5
504.0,0,0,0,0,1,1,0.5
506.7,0,0,0,0,0,1,0.5
509.3,1,0,1,0,0,1,0.5
512.0,0,1,0,1,0,1,0.5
514.7,0,0,1,0,1,1,0.5
517.3,1,0,0,1,0,1,0.5
520.0,0,1,0,0,1,1,0.5
522.7,0,0,1,1,0,1,0.5
525.3,1,0,0,0,1,1,0.5
528.0,0,1,1,0,0,1,0.5
530.7,0,0,0,1,1,1,0.5
533.3,1,1,0,0,0,1,0.5
536.0,0,0,0,1,1,0,0.5
538.7,0,1,1,0,0,0,0.5
541.3,1,0,0,0,1,0,0.5
544.0,0,0,1,1,0,0,0.5
546.7,0,1,0,0,1,0,0.5
549.3,1,0,0,1,0,0,0.5
552.0,0,0,1,0,1,0,0.5
554.7,0,1,0,1,0,0,0.5
557.3,1,0,1,0,0,0,0.5
560.0,1,0,0,0,0,0,0.5
562.7,1,1,0,0,0,0,0.5
565.3,1,1,1,0,0,0,0.5
568.0,1,1,1,1,0,0,0.5
570.7,1,1,1,1,1,0,0.5
573.3,1,1,1,1,1,1,0.5
576.0,0,1,1,1,1,1,0.5
578.7,0,0,1,1,1,1,0.5
581.3,0,0,0,1,1,1,0.5
584.0,0,0,0,0,1,1,0.5
586.7,0,0,0,0,0,1,0.5
589.3,1,0,1,0,0,1,0.5
592.0,0,1,0,1,0,1,0.5
594.7,0,0,1,0,1,1,0.5
597.3,1,0,0,1,0,1,0.5
600.0,0,1,0,0,1,1,0.5
602.7,0,0,1,1,0,1,0.5
