time (s),arc1,arc2,arc3,arc4,arc5,arc6,ramp
"1,738.7",0,1,1,0,0,0,0.5
"1,741.3",1,0,0,0,1,0,0.5
"1,744.0",0,0,1,1,0,0,0.5
"1,746.7",0,1,0,0,1,0,0.5
"1,749.3",1,0,0,1,0,0,0.5
"1,752.0",0,0,1,0,1,0,0.5
"1,754.7",0,1,0,1,0,0,0.5
"1,757.3",1,0,1,0,0,0,0.5
"1,760.0",1,0,0,0,0,0,0.5
"1,762.7",1,1,0,0,0,0,0.5
"1,765.3",1,1,1,0,0,0,0.5
"1,768.0",1,1,1,1,0,0,0.5
"1,770.7",1,1,1,1,1,0,0.5
"1,773.3",1,1,1,1,1,1,0.5
"1,776.0",0,1,1,1,1,1,0.5
"1,778.7",0,0,1,1,1,1,0.5
"1,781.3",0,0,0,1,1,1,0.5
"1,784.0",0,0,0,0,1,1,0.5
"1,786.7",0,0,0,0,0,1,0.5
"1,789.3",1,0,1,0,0,1,0.5
"1,792.0",0,1,0,1,0,1,0.5
"1,794.7",0,0,1,0,1,1,0.5
"1,797.3",1,0,0,1,0,1,0.5
"1,800.0",0,1,0,0,1,1,0.5
"1,802.7",0,0,1,1,0,1,0.5
"1,805.3",1,0,0,0,1,1,0.5
"1,808.0",0,1,1,0,0,1,0.5
"1,810.7",0,0,0,1,1,1,0.5
"1,813.3",1,1,0,0,0,1,0.5
"1,816.0",0,0,0,1,1,0,0.5
"1,818.7",0,1,1,0,0,0,0.5
"1,821.3",1,0,0,0,1,0,0.5
"1,824.0",0,0,1,1,0,0,0.5
"1,826.7",0,1,0,0,1,0,0.5
"1,829.3",1,0,0,1,0,0,0.5
"1,832.0",0,0,1,0,1,0,0.5
"1,834.7",0,1,0,1,0,0,0.5
"1,837.3",1,0,1,0,0,0,0.5
"1,840.0",1,0,0,0,0,0,0.5
"1,842.7",1,1,0,0,0,0,0.5
"1,845.3",1,1,1,0,0,0,0.5
"1,848.0",1,1,1,1,0,0,0.5
"1,850.7",1,1,1,1,1,0,0.5
"1,853.3",1,1,1,1,1,1,0.5
"1,856.0",0,1,1,1,1,1,0.5
"1,858.7",0,0,1,1,1,1,0.5
"1,861.3",0,0,0,1,1,1,0.5
"1,864.0",0,0,0,0,1,1,0.5
"1,866.7",0,0,0,0,0,1,0.5
"1,869.3",1,0,1,0,0,1,0.5
"1,872.0",0,1,0,1,0,1,0.5
"1,874.7",0,0,1,0,1,1,0.5
"1,877.3",1,0,0,1,0,1,0.5
"1,880.0",0,1,0,0,1,1,0.5
"1,882.7",0,0,1,1,0,1,0.5
"1,885.3",1,0,0,0,1,1,0.5
"1,888.0",0,1,1,0,0,1,0.5
"1,890.7",0,0,0,1,1,1,0.5
"1,893.3",1,1,0,0,0,1,0.5
"1,896.0",0,0,0,1,1,0,0.5
"1,898.7",0,1,1,0,0,0,0.5
"1,901.3",1,0,0,0,1,0,0.5
"1,904.0",0,0,1,1,0,0,0.5
"1,906.7",0,1,0,0,1,0,0.5
"1,909.3",1,0,0,1,0,0,0.5
"1,912.0",0,0,1,0,1,0,0.5
"1,914.7",0,1,0,1,0,0,0.5
"1,917.3",1,0,1,0,0,0,0.5
"1,920.0",1,0,0,0,0,0,0.5
"1,922.7",1,1,0,0,0,0,0.5
"1,925.3",1,1,1,0,0,0,0.5
"1,928.0",1,1,1,1,0,0,0.5
"1,930.7",1,1,1,1,1,0,0.5
"1,933.3",1,1,1,1,1,1,0.5
"1,936.0",0,1,1,1,1,1,0.5
"1,938.7",0,0,1,1,1,1,0.5
"1,941.3",0,0,0,1,1,1,0.5
"1,944.0",0,0,0,0,1,1,0.5
"1,946.7",0,0,0,0,0,1,0.5
"1,949.3",1,0,1,0,0,1,0.5
"1,952.0",0,1,0,1,0,1,0.5
"1,954.7",0,0,1,0,1,1,0.5
"1,957.3",1,0,0,1,0,1,0.5
"1,960.0",0,1,0,0,1,1,0.5
"1,962.7",0,0,1,1,0,1,0.5
"1,965.3",1,0,0,0,1,1,0.5
"1,968.0",0,1,1,0,0,1,0.5
"1,970.7",0,0,0,1,1,1,0.5
"1,973.3",1,1,0,0,0,1,0.5
"1,976.0",0,0,0,1,1,0,0.5
"1,978.7",0,1,1,0,0,0,0.5
"1,981.3",1,0,0,0,1,0,0.5
"1,984.0",0,0,1,1,0,0,0.5
"1,986.7",0,1,0,0,1,0,0.5
"1,989.3",1,0,0,1,0,0,0.5
"1,992.0",0,0,1,0,1,0,0.5
"1,994.7",0,1,0,1,0,0,0.5
"1,997.3",1,0,1,0,0,0,0.5
"2,000.0",1,0,0,0,0,0,0.5
"2,002.7",1,1,0,0,0,0,0.5
"2,005.3",1,1,1,0,0,0,0.5
"2,008.0",1,1,1,1,0,0,0.5
"2,010.7",1,1,1,1,1,0,0.5
"2,013.3",1,1,1,1,1,1,0.5
"2,016.0",0,1,1,1,1,1,0.5
"2,018.7",0,0,1,1,1,1,0.5
"2,021.3",0,0,0,1,1,1,0.5
"2,024.0",0,0,0,0,1,1,0.5
"2,026.7",0,0,0,0,0,1,0.5
"2,029.3",1,0,1,0,0,1,0.5
"2,032.0",0,1,0,1,0,1,0.5
"2,034.7",0,0,1,0,1,1,0.5
"2,037.3",1,0,0,1,0,1,0.5
"2,040.0",0,1,0,0,1,1,0.5
"2,042.7",0,0,1,1,0,1,0.5
"2,045.3",1,0,0,0,1,1,0.5
"2,048.0",0,1,1,0,0,1,0.5
"2,050.7",0,0,0,1,1,1,0.5
"2,053.3",1,1,0,0,0,1,0.5
"2,056.0",0,0,0,1,1,0,0.5
"2,058.7",0,1,1,0,0,0,0.5
"2,061.3",1,0,0,0,1,0,0.5
"2,064.0",0,0,1,1,0,0,0.5
"2,066.7",0,1,0,0,1,0,0.5
"2,069.3",1,0,0,1,0,0,0.5
"2,072.0",0,0,1,0,1,0,0.5
"2,074.7",0,1,0,1,0,0,0.5
"2,077.3",1,0,1,0,0,0,0.5
"2,080.0",1,0,0,0,0,0,0.5
"2,082.7",1,1,0,0,0,0,0.5
"2,085.3",1,1,1,0,0,0,0.5
"2,088.0",1,1,1,1,0,0,0.5
"2,090.7",1,1,1,1,1,0,0.5
"2,093.3",1,1,1,1,1,1,0.5
"2,096.0",0,1,1,1,1,1,0.5
"2,098.7",0,0,1,1,1,1,0.5
"2,101.3",0,0,0,1,1,1,0.5
"2,104.0",0,0,0,0,1,1,0.5
"2,106.7",0,0,0,0,0,1,0.5
"2,109.3",1,0,1,0,0,1,0.5
"2,112.0",0,1,0,1,0,1,0.5
"2,114.7",0,0,1,0,1,1,0.5
"2,117.3",1,0,0,1,0,1,0.5
"2,120.0",0,1,0,0,1,1,0.5
"2,122.7",0,0,1,1,0,1,0.5
"2,125.3",1,0,0,0,1,1,0.5
"2,128.0",0,1,1,0,0,1,0.5
"2,130.7",0,0,0,1,1,1,0.5
"2,133.3",1,1,0,0,0,1,0.5
"2,136.0",0,0,0,1,1,0,0.5
"2,138.7",0,1,1,0,0,0,0.5
"2,141.3",1,0,0,0,1,0,0.5
"2,144.0",0,0,1,1,0,0,0.5
"2,146.7",0,1,0,0,1,0,0.5
"2,149.3",1,0,0,1,0,0,0.5
"2,152.0",0,0,1,0,1,0,0.5
"2,154.7",0,1,0,1,0,0,0.5
"2,157.3",1,0,1,0,0,0,0.5
"2,160.0",1,0,0,0,0,0,0.5
"2,162.7",1,1,0,0,0,0,0.5
"2,165.3",1,1,1,0,0,0,0.5
"2,168.0",1,1,1,1,0,0,0.5
"2,170.7",1,1,1,1,1,0,0.5
"2,173.3",1,1,1,1,1,1,0.5
"2,176.0",0,1,1,1,1,1,0.5
"2,178.7",0,0,1,1,1,1,0.5
"2,181.3",0,0,0,1,1,1,0.5
"2,184.0",0,0,0,0,1,1,0.5
"2,186.7",0,0,0,0,0,1,0.5
"2,189.3",1,0,1,0,0,1,0.5
"2,192.0",0,1,0,1,0,1,0.5
"2,194.7",0,0,1,0,1,1,0.5
"2,197.3",1,0,0,1,0,1,0.5
"2,200.0",0,1,0,0,1,1,0.5
"2,202.7",0,0,1,1,0,1,0.5
"2,205.3",1,0,0,0,1,1,0.5
"2,208.0",0,1,1,0,0,1,0.5
"2,210.7",0,0,0,1,1,1,0.5
"2,213.3",1,1,0,0,0,1,0.5
"2,216.0",0,0,0,1,1,0,0.5
"2,218.7",0,1,1,0,0,0,0.5
"2,221.3",1,0,0,0,1,0,0.5
"2,224.0",0,0,1,1,0,0,0.5
"2,226.7",0,1,0,0,1,0,0.5
"2,229.3",1,0,0,1,0,0,0.5
"2,232.0",0,0,1,0,1,0,0.5
"2,234.7",0,1,0,1,0,0,0.5
"2,237.3",1,0,1,0,0,0,0.5
"2,240.0",1,0,0,0,0,0,0.5
"2,242.7",1,1,0,0,0,0,0.5
"2,245.3",1,1,1,0,0,0,0.5
"2,248.0",1,1,1,1,0,0,0.5
"2,250.7",1,1,1,1,1,0,0.5
"2,253.3",1,1,1,1,1,1,0.5
"2,256.0",0,1,1,1,1,1,0.5
"2,258.7",0,0,1,1,1,1,0.5
"2,261.3",0,0,0,1,1,1,0.5
"2,264.0",0,0,0,0,1,1,0.5
"2,266.7",0,0,0,0,0,1,0.5
"2,269.3",1,0,1,0,0,1,0.5
"2,272.0",0,1,0,1,0,1,0.5
"2,274.7",0,0,1,0,1,1,0.5
"2,277.3",1,0,0,1,0,1,0.5
"2,280.0",0,1,0,0,1,1,0.5
"2,282.7",0,0,1,1,0,1,0.5
"2,285.3",1,0,0,0,1,1,0.5
"2,288.0",0,1,1,0,0,1,0.5
"2,290.7",0,0,0,1,1,1,0.5
"2,293.3",1,1,0,0,0,1,0.5
"2,296.0",0,0,0,1,1,0,0.5
"2,298.7",0,1,1,0,0,0,0.5
"2,301.3",1,0,0,0,1,0,0.5
"2,304.0",0,0,1,1,0,0,0.5
"2,306.7",0,1,0,0,1,0,0.5
"2,309.3",1,0,0,1,0,0,0.5
"2,312.0",0,0,1,0,1,0,0.5
"2,314.7",0,1,0,1,0,0,0.5
"2,317.3",1,0,1,0,0,0,0.5
"2,320.0",1,0,0,0,0,0,0.5
"2,322.7",1,1,0,0,0,0,0.5
"2,325.3",1,1,1,0,0,0,0.5
"2,328.0",1,1,1,1,0,0,0.5
"2,330.7",1,1,1,1,1,0,0.5
"2,333.3",1,1,1,1,1,1,0.5
"2,336.0",0,1,1,1,1,1,0.5
"2,338.7",0,0,1,1,1,1,0.5
"2,341.3",0,0,0,1,1,1,0.5
"2,344.0",0,0,0,0,1,1,0.5
"2,346.7",0,0,0,0,0,1,0.5
"2,349.3",1,0,1,0,0,1,0.5
"2,352.0",0,1,0,1,0,1,0.5
"2,354.7",0,0,1,0,1,1,0.5
"2,357.3",1,0,0,1,0,1,0.5
"2,360.0",0,1,0,0,1,1,0.5
"2,362.7",0,0,1,1,0,1,0.5
"2,365.3",1,0,0,0,1,1,0.5
"2,368.0",0,1,1,0,0,1,0.5
"2,370.7",0,0,0,1,1,1,0.5
"2,373.3",1,1,0,0,0,1,0.5
"2,376.0",0,0,0,1,1,0,0.5
"2,378.7",0,1,1,0,0,0,0.5
"2,381.3",1,0,0,0,1,0,0.5
"2,384.0",0,0,1,1,0,0,0.5
"2,386.7",0,1,0,0,1,0,0.5
"2,389.3",1,0,0,1,0,0,0.5
"2,392.0",0,0,1,0,1,0,0.5
"2,394.7",0,1,0,1,0,0,0.5
"2,397.3",1,0,1,0,0,0,0.5
"2,400.0",END,,,,,,
